original,alias
"Trinidad & Tobago","Trinidad and Tobago"
"Taiwan Province of China","Taiwan"
"Hong Kong S.A.R., China","Hong Kong"
"North Macedonia","Macedonia"
"Bolivia (Plurinational State of)","Bolivia"
"Congo, Dem. Rep.","Congo (Kinshasa)"
"Democratic Republic of the Congo","Congo (Kinshasa)"
"Congo, Rep.","Congo (Brazzaville)"
"Republic of the Congo","Congo (Brazzaville)"
"Eswatini","Swaziland"
"Ivory Coast","Ivory Coast"
"Czechia","Czech Republic"
"United States of America","United States"
"Russia","Russian Federation"
"Slovak Republic","Slovakia"
